Author,ID,PubDate,elecyear,conflict,Source,Service,letter_ed,online_only,AuthSex,Title,Thesis,AuthRank,Topic,Leg_Act,Crit_Insub,Issue_Area,Endorse_Partisan,Role,Details,Inst_Cred_Gallup,Congress,congress_yr,party.mean.diff.d1.house,party.mean.diff.d1.senate,dem_diff_aff,rep_diff_aff,aff_polar_alt,House_Dem_mean_nom1,House_Dem_sd_nom1,House_Rep_mean_nom1,House_Rep_sd_nom1,Sen_Dem_mean_nom1,Sen_Dem_sd_nom1,Sen_Rep_mean_nom1,Sen_Rep_sd_nom1,House_Dem_mean_nom2,House_Dem_sd_nom2,House_Rep_mean_nom2,House_Rep_sd_nom2,Sen_Dem_mean_nom2,Sen_Dem_sd_nom2,Sen_Rep_mean_nom2,Sen_Rep_sd_nom2
"Hayward, John",1,1982-06-16,0,0,WSJ,Navy,1,,M,Lessons of the South Atlantic War,…It is then that surface ships are most vulnerable and then that is of vital importance to the success of the operation that one controls the air. ,9,BdgtWpnsTrps,,,,,,,50,97,1981,0.606865095,0.609582126,26.21428,24.9629,48.81,-0.3003644,0.19336378,0.3064541,0.16577691,-0.2993478,0.1101448,0.3102222,0.17697294,0.092352227,0.4582275,-0.198867347,0.3021659,0.260586957,0.4706448,-0.317388889,0.4090534
"Taylor, Maxwell",1,1983-07-18,0,0,WaPO,Army,,,M,Make the Arms Fit the Task,"Having long and openly lamented the absence of a rational military policy, I am occasionally asked what such a policy would be like and what it might be expected to accomplish. The purpose of this article is to answer these questions. The dominant characteristic of the policy I have in mind is task orientation - that is, it would specify the strategic tasks that the Armed Forces should be able to perform and cause these forces to be designed accordingly. ",10,Warfighting,,,,,,,53,98,1983,0.627395232,0.608435178,25.87627,31.70853,55.635,-0.3017647,0.18152152,0.3255928,0.15684849,-0.3013696,0.10993844,0.3070545,0.17605191,0.070823529,0.4427776,-0.206844311,0.3029717,0.2465,0.4771086,-0.303527273,0.4085645
"Corwin, Thomas",1,1983-08-22,0,0,WSJ,Air Force,1,,M,King Fit For a Day,"In your editorial you write that ""we can think of hardly anyone more deserving of the honor a commemorated birthday than Martin Luther King. If you can't think of anyone more deserving, I can: Thomas Jefferson, James Monroe, …, and several hundred more.  ",7,DomesticPolicy,,,,,,,53,98,1983,0.627395232,0.608435178,25.87627,31.70853,55.635,-0.3017647,0.18152152,0.3255928,0.15684849,-0.3013696,0.10993844,0.3070545,0.17605191,0.070823529,0.4427776,-0.206844311,0.3029717,0.2465,0.4771086,-0.303527273,0.4085645
"Rowny, Edward",1,1984-02-02,1,0,NYT,Army,,,M,Groundwork for Arms Progress,"In sum, there has been real progress to date. Both sides have responded, in varying degrees, to the other's concerns. And we have offered to explore trading areas of respective interest and advantages to narrow our differences.",9,ForeignPolicy,,,,,,,53,98,1983,0.627395232,0.608435178,25.87627,31.70853,55.635,-0.3017647,0.18152152,0.3255928,0.15684849,-0.3013696,0.10993844,0.3070545,0.17605191,0.070823529,0.4427776,-0.206844311,0.3029717,0.2465,0.4771086,-0.303527273,0.4085645
"Lemnitzer, Lyman",1,1984-06-19,1,0,NYT,Army,,,M,Retain the Joint Chiefs,"The existing system is sound. It would be a serious error to adopt proposed legislative changes in the presently assigned functions, duties, and responsibilities of the Joint Chiefs of Staff.",10,CivMilBalance,1,,,,,Authors assert legislative changes should not be made to the JCS.,53,98,1983,0.627395232,0.608435178,25.87627,31.70853,55.635,-0.3017647,0.18152152,0.3255928,0.15684849,-0.3013696,0.10993844,0.3070545,0.17605191,0.070823529,0.4427776,-0.206844311,0.3029717,0.2465,0.4771086,-0.303527273,0.4085645
"Kastner, W.H.",1,1984-09-07,1,0,WSJ,Army,1,,M,Uniform of the Day: Straitjacket,When they encounter problems caused by their centralized system their only solution is to impose more centralized control. ,6,CivMilBalance,,,,,,,53,98,1983,0.627395232,0.608435178,25.87627,31.70853,55.635,-0.3017647,0.18152152,0.3255928,0.15684849,-0.3013696,0.10993844,0.3070545,0.17605191,0.070823529,0.4427776,-0.206844311,0.3029717,0.2465,0.4771086,-0.303527273,0.4085645
"Graham, Daniel",1,1984-09-14,1,0,WSJ,Army,1,,M,Sane Approach to Replacing MAD,"Supporters of the High Frontier Strategy emphasizing non-nuclear defenses are convinced that such defenses create a much stronger, cheaper, and morally acceptable deterrent to nuclear war ",9,BdgtWpnsTrps,,,,,,,53,98,1983,0.627395232,0.608435178,25.87627,31.70853,55.635,-0.3017647,0.18152152,0.3255928,0.15684849,-0.3013696,0.10993844,0.3070545,0.17605191,0.070823529,0.4427776,-0.206844311,0.3029717,0.2465,0.4771086,-0.303527273,0.4085645
"LaRocque, Gene",1,1984-11-23,0,0,NYT,Navy,,,M,The Worrisome Prospect of an Invasion of Nicaragua,"President Reagan should take the long range view and not succumb to the lure of intervention, which would only add a new layer of violence and destruction to Central America. ",7,Warfighting,,,,,,,53,98,1983,0.627395232,0.608435178,26.15251,30.3494,55.635,-0.3017647,0.18152152,0.3255928,0.15684849,-0.3013696,0.10993844,0.3070545,0.17605191,0.070823529,0.4427776,-0.206844311,0.3029717,0.2465,0.4771086,-0.303527273,0.4085645
"Thorsness, Leo",0,1985-02-01,0,0,WSJ,Air Force,1,,M,Putting the Vietnam War in Perspective,"Our sacrifices were not totally in vain…in hindsight, it is no small feat to secure relative economic and political freedom for a sixteenth of the world's population in 10 short years.",6,Warfighting,,,,,,,63,99,1985,0.643252854,0.619521671,26.15251,30.3494,54.179,-0.3095058,0.16644742,0.3337088,0.14809295,-0.3056383,0.10916868,0.3138519,0.1779253,0.081898833,0.4418376,-0.212494505,0.2959588,0.215106383,0.4841403,-0.285055556,0.4065707
"Kennedy, William",1,1985-02-11,0,0,WSJ,Army,,,M,"Listen to Some of Your Critics, Cap","The longer we delay a more rational defense program, the greater the danger that what the former treasury and commerce secretaries warned of in 1983 will come to pass…",6,BdgtWpnsTrps,,,,,,,63,99,1985,0.643252854,0.619521671,26.15251,30.3494,54.179,-0.3095058,0.16644742,0.3337088,0.14809295,-0.3056383,0.10916868,0.3138519,0.1779253,0.081898833,0.4418376,-0.212494505,0.2959588,0.215106383,0.4841403,-0.285055556,0.4065707
"Westmoreland, William",1,1985-02-24,0,0,NYT,Army,,,M,A Court's No Forum,"…Then, let an informed public make the final decision.",10,Support,,,,,,,63,99,1985,0.643252854,0.619521671,26.15251,30.3494,54.179,-0.3095058,0.16644742,0.3337088,0.14809295,-0.3056383,0.10916868,0.3138519,0.1779253,0.081898833,0.4418376,-0.212494505,0.2959588,0.215106383,0.4841403,-0.285055556,0.4065707
"Raborn, W.F.",1,1985-03-27,0,0,WSJ,Navy,1,,M,You Get What You Pay For,We should do everything possible to build up our military and fight the ever-growing threat facing us…,9,BdgtWpnsTrps,,,,,,,63,99,1985,0.643252854,0.619521671,26.15251,30.3494,54.179,-0.3095058,0.16644742,0.3337088,0.14809295,-0.3056383,0.10916868,0.3138519,0.1779253,0.081898833,0.4418376,-0.212494505,0.2959588,0.215106383,0.4841403,-0.285055556,0.4065707
"Gayler, Noel",1,1985-05-16,0,0,WSJ,Navy,1,,M,Stop That Whistling,Take Another Look. OTA provides a valuable service for an effective discharge of constitutional responsibilities.,10,Support,,,,,,,63,99,1985,0.643252854,0.619521671,26.15251,30.3494,54.179,-0.3095058,0.16644742,0.3337088,0.14809295,-0.3056383,0.10916868,0.3138519,0.1779253,0.081898833,0.4418376,-0.212494505,0.2959588,0.215106383,0.4841403,-0.285055556,0.4065707
"McFarlane, Robert",0,1986-11-13,0,0,WaPO,Marine Corps,,,M,McFarlane on Why,"My point here is not to assert the China experience as a perfect analogue to recent efforts toward Iran. But the basic issue was the same. Nurturing a strategic reorientation in a country's policy requires discretion, judgement, and patience. And it is never risk free. ",5,ForeignPolicy,,,,,,,63,99,1985,0.643252854,0.619521671,25.33944,29.58162,54.179,-0.3095058,0.16644742,0.3337088,0.14809295,-0.3056383,0.10916868,0.3138519,0.1779253,0.081898833,0.4418376,-0.212494505,0.2959588,0.215106383,0.4841403,-0.285055556,0.4065707
"Rowny, Edward",0,1987-01-07,0,0,WSJ,Army,,,M,An SDI-Like Push on Conventional Arms,"What our Scientists need, as we have seen in the SDI experience, is the challenge of a specific goal and the strong backing of political leaders for their efforts. If we are truly serious about decreasing our reliance on nuclear weapons and about defending our free, democratic way of life, it is imperative that Western scientists be given that challenge. ",9,BdgtWpnsTrps,,,,,,,61,100,1987,0.644682247,0.608146245,25.33944,29.58162,52.459,-0.309313,0.16532117,0.3353575,0.15520072,-0.2944,0.11098108,0.3136957,0.1660206,0.084454198,0.4268436,-0.233256983,0.2854435,0.200109091,0.4609589,-0.334673913,0.3779754
"Crowley, Robert",0,1987-04-07,0,0,WSJ,Army,,,M,Leaks in Our Moscow Embassy Are Nothing New,It is not reassuring to learn that the security of our Moscow Embassy has once more been compromised. ,5,Warfighting,,,,,,,61,100,1987,0.644682247,0.608146245,25.33944,29.58162,52.459,-0.309313,0.16532117,0.3353575,0.15520072,-0.2944,0.11098108,0.3136957,0.1660206,0.084454198,0.4268436,-0.233256983,0.2854435,0.200109091,0.4609589,-0.334673913,0.3779754
"Rowny, Edward",1,1987-06-05,0,0,NYT,Army,,,M,Build Up Regular Forces,"In order to redress the imbalance of conventional forces, we must improve our own conventional force capabilities and work to eliminate the imbalance through negotiation. If we ""aim to parley,"" as Winston Churchill once advised, we could achieve both ends. ",9,Warfighting,,,,,,,61,100,1987,0.644682247,0.608146245,25.33944,29.58162,52.459,-0.309313,0.16532117,0.3353575,0.15520072,-0.2944,0.11098108,0.3136957,0.1660206,0.084454198,0.4268436,-0.233256983,0.2854435,0.200109091,0.4609589,-0.334673913,0.3779754
"McFarlane, Robert",0,1987-06-23,0,0,NYT,Marine Corps ,,,M,Give Top Billing to Strategic Arms,The Russians read our headlines reporting Congressional misgivings over the defense budget. And while the Russians need a lot of Western help in the way of credits….surely we are not so naïve as to give them both the answers to their problems and cuts in our own defense budget without getting anything in return. ,5,ForeignPolicy,,,,,,,61,100,1987,0.644682247,0.608146245,25.33944,29.58162,52.459,-0.309313,0.16532117,0.3353575,0.15520072,-0.2944,0.11098108,0.3136957,0.1660206,0.084454198,0.4268436,-0.233256983,0.2854435,0.200109091,0.4609589,-0.334673913,0.3779754
"Rogers, Bernard",1,1987-07-08,0,0,WSJ,Army,,,M,Why NATO Continues To Need American Troops,"US Troop Reductions would undermine both the strength and cohesion of NATO, thus weakening deterrence and increasing the chance that the US would have to shed the blood of its troops - again - to convince aggressors that our commitment to peace and freedom in Europe remains strong. ",10,ForeignPolicy,,,,,,,61,100,1987,0.644682247,0.608146245,25.33944,29.58162,52.459,-0.309313,0.16532117,0.3353575,0.15520072,-0.2944,0.11098108,0.3136957,0.1660206,0.084454198,0.4268436,-0.233256983,0.2854435,0.200109091,0.4609589,-0.334673913,0.3779754
"Sick, Gary",1,1988-07-06,1,0,NYT,Navy,,,M,Failure and Danger in the Gulf,"President Reagan has hurriedly proclaimed this incident [the shooting down of Iran Air Flight 655 by Americans] ""closed."" True, the historical tape cannot be replayed. The dead cannot be brought back to life. But the need to examine the underlying policy assumptions and practices that led to this disaster is more urgent than ever before. ",6,ForeignPolicy,,,,,,,58,100,1987,0.644682247,0.608146245,25.33944,29.58162,52.459,-0.309313,0.16532117,0.3353575,0.15520072,-0.2944,0.11098108,0.3136957,0.1660206,0.084454198,0.4268436,-0.233256983,0.2854435,0.200109091,0.4609589,-0.334673913,0.3779754
"Haig, Alexander",1,1988-12-05,0,0,NYT,Army,,,M,Haunted by a Vienna Summit Meeting,"The new administration has heavy work to do before it can begin to talk about major deals with the Soviet Union…In short, it needs to hammer out an allied consensus on the full range of East-West issues.",10,ForeignPolicy,,,,,,,58,100,1987,0.644682247,0.608146245,29.61819,30.59757,52.459,-0.309313,0.16532117,0.3353575,0.15520072,-0.2944,0.11098108,0.3136957,0.1660206,0.084454198,0.4268436,-0.233256983,0.2854435,0.200109091,0.4609589,-0.334673913,0.3779754
"Yancey, William",1,1989-04-18,0,0,WSJ,Air Force,1,,M,"General Bashing, Then and Now","If anything, Mr. Cheney no doubt turned most of the military establishment against himself by expressing his pique to the press.  ",8,CivMilBalance,,1,,,,,68,101,1989,0.652710377,0.616167702,29.61819,30.59757,57.697,-0.3130377,0.16644477,0.3396611,0.160461,-0.2934643,0.09648268,0.3226522,0.16312139,0.080615094,0.428438,-0.248211111,0.2845434,0.123125,0.428651,-0.302021739,0.3665038
"Sylvester, Delmont",1,1989-12-11,0,0,WSJ,Air Force,1,,M,"Dear Mr. Gorbachev, About That Airplane…","In view of easing of tensions between our countries, I hoped you might intercede on our behalf and ask your military people to return the C-47 to West Berlin. ",4,ForeignPolicy,,,,,,,68,101,1989,0.652710377,0.616167702,29.61819,30.59757,57.697,-0.3130377,0.16644477,0.3396611,0.160461,-0.2934643,0.09648268,0.3226522,0.16312139,0.080615094,0.428438,-0.248211111,0.2845434,0.123125,0.428651,-0.302021739,0.3665038
"Haig, Alexander",1,1990-01-18,0,0,NYT,Army,,,M,An Alliance for All Europe,"But there is another historic blunder to avoid: Above all, we must not become an idvertent accomplice in a Soviet attempt to divert Eastern Europe's march to democracy into the dead end of reform Communism.",10,ForeignPolicy,,,,,,,68,101,1989,0.652710377,0.616167702,29.61819,30.59757,57.697,-0.3130377,0.16644477,0.3396611,0.160461,-0.2934643,0.09648268,0.3226522,0.16312139,0.080615094,0.428438,-0.248211111,0.2845434,0.123125,0.428651,-0.302021739,0.3665038
"Rowny, Edward",1,1990-03-27,0,0,WSJ,Army,,,M,An Early Traveler from Communism to Liberty,…Jay Lovestone will deserve a special shrine.,9,Support,,,,,,,68,101,1989,0.652710377,0.616167702,29.61819,30.59757,57.697,-0.3130377,0.16644477,0.3396611,0.160461,-0.2934643,0.09648268,0.3226522,0.16312139,0.080615094,0.428438,-0.248211111,0.2845434,0.123125,0.428651,-0.302021739,0.3665038
"Westmoreland, William",1,1990-05-28,0,0,NYT,Army,,,M,A Strong American Military…,has promoted democracy - and US interests.  ,10,Warfighting,,,,,,,68,101,1989,0.652710377,0.616167702,29.61819,30.59757,57.697,-0.3130377,0.16644477,0.3396611,0.160461,-0.2934643,0.09648268,0.3226522,0.16312139,0.080615094,0.428438,-0.248211111,0.2845434,0.123125,0.428651,-0.302021739,0.3665038
"Haig, Alexander",1,1990-12-10,0,1,NYT,Army,,,M,Gulf Analogy: Munich or Vietnam?,"International conflicts attract historical analogies the way honey attracts bears, because the ""lessons learned"" from such analogies are supposed to help us avoid past mistakes. The Persian Gulf Crisis is no exception, and two analogies in particular - Munich and Vietnam - might have something to tell us. ",10,ForeignPolicy,,,,,,,68,101,1989,0.652710377,0.616167702,20.48573,26.72819,57.697,-0.3130377,0.16644477,0.3396611,0.160461,-0.2934643,0.09648268,0.3226522,0.16312139,0.080615094,0.428438,-0.248211111,0.2845434,0.123125,0.428651,-0.302021739,0.3665038
"Dugan, Michael",1,1991-01-04,0,1,WSJ,Air Force,1,,M,Have Americans Gone Soft?,How do we stack up today answering the call [to serve]? I believe very well…,10,SocialPolicy,,,,,,,85,102,1991,0.658970806,0.618695141,20.48573,26.72819,44.8779,-0.314237,0.16579372,0.3447529,0.15634599,-0.2992069,0.10226158,0.3194318,0.16598408,0.079944444,0.4138062,-0.229347059,0.2807774,0.10587931,0.4346564,-0.306840909,0.3658519
"North, Oliver",1,1991-01-23,0,1,WSJ,Marine Corps,,,M,High Tech Proves Itself on the Battlefield,The lesson of Desert Strom and the concurrent events in the Soviet Union is : restore funding for the systems eliminated in last year's defense budget. ,5,BdgtWpnsTrps,,,,,,,85,102,1991,0.658970806,0.618695141,20.48573,26.72819,44.8779,-0.314237,0.16579372,0.3447529,0.15634599,-0.2992069,0.10226158,0.3194318,0.16598408,0.079944444,0.4138062,-0.229347059,0.2807774,0.10587931,0.4346564,-0.306840909,0.3658519
"Boldrick, Michael",1,1991-02-07,0,1,WSJ,Air Force,,,M,The Message of the Scuds,Well developed Strategic Air Command Plans to redeploy the MX on railcars have been shelved to fund the peace dividend…Saddham Hussein is sending America a wake up call. ,6,Warfighting,,,,,,,85,102,1991,0.658970806,0.618695141,20.48573,26.72819,44.8779,-0.314237,0.16579372,0.3447529,0.15634599,-0.2992069,0.10226158,0.3194318,0.16598408,0.079944444,0.4138062,-0.229347059,0.2807774,0.10587931,0.4346564,-0.306840909,0.3658519
"Morgenthaler, Wendall",1,1991-02-12,0,1,WSJ,Army,1,,M,Marine Corps: Dying in Glory isnt the Goal ,"Marines study other military theorists, especially Karl von Clausewitz, who wrote that as there are no prescriptions for victory, an Army should use the tactics and strategies most appropriate to the situation and in accord with the political objective.  ",6,Support,,,,,,,85,102,1991,0.658970806,0.618695141,20.48573,26.72819,44.8779,-0.314237,0.16579372,0.3447529,0.15634599,-0.2992069,0.10226158,0.3194318,0.16598408,0.079944444,0.4138062,-0.229347059,0.2807774,0.10587931,0.4346564,-0.306840909,0.3658519
"Burr, William",1,1991-03-07,0,1,WSJ,Army,1,,M,Gen. Sherman Avoided Bloody Onslaughts,One gets the impression that Gens. Colin Powell and Norman Schwarzkopf may be taking a leaf from Gen. Sherman's (or Mr. Weigley's) book. ,6,Warfighting,,,,,,,85,102,1991,0.658970806,0.618695141,20.48573,26.72819,44.8779,-0.314237,0.16579372,0.3447529,0.15634599,-0.2992069,0.10226158,0.3194318,0.16598408,0.079944444,0.4138062,-0.229347059,0.2807774,0.10587931,0.4346564,-0.306840909,0.3658519
"Dickens, Samuel",1,1991-04-16,0,1,NYT,Air Force,,,M,Assassins in Manaqua,"If their assassins are allowed to continue to act with impunity, no one is safe in Nicaraugua.",6,ForeignPolicy,,,,,,,85,102,1991,0.658970806,0.618695141,20.48573,26.72819,44.8779,-0.314237,0.16579372,0.3447529,0.15634599,-0.2992069,0.10226158,0.3194318,0.16598408,0.079944444,0.4138062,-0.229347059,0.2807774,0.10587931,0.4346564,-0.306840909,0.3658519
"Odom, William",1,1992-04-12,1,0,WaPO,Army,,,M,Picking and Choosing Among Emerging Dictatorships,"How should the West react to emerging dictators in these states?...In a word, if the West is faced with a series of emerging dictatorships, it needs to discriminate amongst them. A few might be the best hope for a future return to democracy. ",9,ForeignPolicy,,,,,,,69,102,1991,0.658970806,0.618695141,20.48573,26.72819,44.8779,-0.314237,0.16579372,0.3447529,0.15634599,-0.2992069,0.10226158,0.3194318,0.16598408,0.079944444,0.4138062,-0.229347059,0.2807774,0.10587931,0.4346564,-0.306840909,0.3658519
"Patton Jr., George",1,1992-03-09,1,0,WSJ,Army,1,,M,Now Read This,His point about reduction following research and development (even if it is limited) is absolutely valid.,8,BdgtWpnsTrps,,,,,,,69,102,1991,0.658970806,0.618695141,20.48573,26.72819,44.8779,-0.314237,0.16579372,0.3447529,0.15634599,-0.2992069,0.10226158,0.3194318,0.16598408,0.079944444,0.4138062,-0.229347059,0.2807774,0.10587931,0.4346564,-0.306840909,0.3658519
"Odom, William",0,1992-08-19,1,0,WaPO,Army,,,M,Who Really Won the Cold War? Credit Where Credit is Due,The post-Cold War challenge demands at least a modicum of bipartisanship. Half-truths about who won the Cold War will not forge the necessary consensus to use American influence to promote democracy and free markets around the world. ,9,ForeignPolicy,,,,,,,69,102,1991,0.658970806,0.618695141,20.48573,26.72819,44.8779,-0.314237,0.16579372,0.3447529,0.15634599,-0.2992069,0.10226158,0.3194318,0.16598408,0.079944444,0.4138062,-0.229347059,0.2807774,0.10587931,0.4346564,-0.306840909,0.3658519
"Dupuy, T.M.",1,1992-08-20,1,0,WSJ,Army,,,M,The Way to Win the War in Yugoslavia,"Within six months or less from the beginning of the intervention, all combat forces should be back home.  ",6,Warfighting,,,,,,,69,102,1991,0.658970806,0.618695141,20.48573,26.72819,44.8779,-0.314237,0.16579372,0.3447529,0.15634599,-0.2992069,0.10226158,0.3194318,0.16598408,0.079944444,0.4138062,-0.229347059,0.2807774,0.10587931,0.4346564,-0.306840909,0.3658519
"Snider, Don",0,1992-10-13,1,0,NYT,Army,,,M,Stop Serbia. Bomb Serbia.,"To keep the conflict from spreading, a coalition of democratic powers under the United Nations should use military force against Serbia, including a strategic air campaign, along with economic and political pressures. ",6,Warfighting,,,,,,,69,102,1991,0.658970806,0.618695141,20.48573,26.72819,44.8779,-0.314237,0.16579372,0.3447529,0.15634599,-0.2992069,0.10226158,0.3194318,0.16598408,0.079944444,0.4138062,-0.229347059,0.2807774,0.10587931,0.4346564,-0.306840909,0.3658519
"Rowny, Edward",1,1992-11-11,0,0,WSJ,Army,1,,M,Moral Courage,"In a time of war, it is his duty and an honor to fight for his country. ",9,Support,,,,,,,69,102,1991,0.658970806,0.618695141,23.47477,31.05008,44.8779,-0.314237,0.16579372,0.3447529,0.15634599,-0.2992069,0.10226158,0.3194318,0.16598408,0.079944444,0.4138062,-0.229347059,0.2807774,0.10587931,0.4346564,-0.306840909,0.3658519
"Kenney, George and Dugan, Michael",1,1992-11-29,0,0,NYT,Air Force,,,M,Operation Balkan Storm: Here's a Plan,A win in the Balkans would establish US leadership in the post-cold warworld in a way that Operation Desert Storm never could.,10,Warfighting,,,,,,,69,102,1991,0.658970806,0.618695141,23.47477,31.05008,44.8779,-0.314237,0.16579372,0.3447529,0.15634599,-0.2992069,0.10226158,0.3194318,0.16598408,0.079944444,0.4138062,-0.229347059,0.2807774,0.10587931,0.4346564,-0.306840909,0.3658519
